,source,target,JW,HPP,p50k_base,cl100k_base,r50k_base,gpt2
0,http://www.okkam.org/oaie/person1-Person3500,http://www.okkam.org/oaie/person2-Person3501,0.31673981882315216,0.2665505187555104,0.5784657231112159,0.5491972696585143,0.5784657231112159,0.5784657231112159
1,http://www.okkam.org/oaie/person1-Person4180,http://www.okkam.org/oaie/person2-Person4181,0.23969757094757094,0.19438960500729507,0.30511446227206995,0.4029371143254046,0.30511446227206995,0.30511446227206995
2,http://www.okkam.org/oaie/person1-Person3150,http://www.okkam.org/oaie/person2-Person3151,0.3316869087702421,0.2885602896129212,0.4727436804313301,0.5240141668831094,0.4727436804313301,0.4727436804313301
3,http://www.okkam.org/oaie/person1-Person3600,http://www.okkam.org/oaie/person2-Person3601,0.31222542889209554,0.2553280437344765,0.5868699807600541,0.5533585653142196,0.5868699807600541,0.5868699807600541
4,http://www.okkam.org/oaie/person1-Person2810,http://www.okkam.org/oaie/person2-Person2811,0.22870771204104537,0.2111583889361667,0.3824745788250758,0.3813125771146153,0.3824745788250758,0.3824745788250758
5,http://www.okkam.org/oaie/person1-Person3560,http://www.okkam.org/oaie/person2-Person3561,0.29583413500080163,0.2674531235496148,0.6277263096253598,0.49423910813170935,0.6277263096253598,0.6277263096253598
6,http://www.okkam.org/oaie/person1-Person920,http://www.okkam.org/oaie/person2-Person921,0.3699565095398429,0.26960279229650574,0.527061500496248,0.5518518024435878,0.527061500496248,0.527061500496248
7,http://www.okkam.org/oaie/person1-Person4730,http://www.okkam.org/oaie/person2-Person4731,0.35280984447651115,0.25621699847333373,0.49854335124700166,0.4702049611210984,0.49854335124700166,0.49854335124700166
8,http://www.okkam.org/oaie/person1-Person1410,http://www.okkam.org/oaie/person2-Person1411,0.27624458874458874,0.26718586589931614,0.47721260401829724,0.4869340519605745,0.47721260401829724,0.47721260401829724
9,http://www.okkam.org/oaie/person1-Person250,http://www.okkam.org/oaie/person2-Person251,0.3029040404040404,0.2569210300204452,0.6141345610993938,0.5936988873798492,0.6141345610993938,0.6141345610993938
